name	symbol	marketcap	price	change	high52	low52	volume	volumeavg	Start of Year
Excellon Resources Inc.	EXN	"=GoogleFinance(""TSE:EXN"",""marketcap"")"	"=GoogleFinance(""TSE:EXN"",""price"")"	"=GoogleFinance(""TSE:EXN"",""change"")"	"=GoogleFinance(""TSE:EXN"",""high52"")"	"=GoogleFinance(""TSE:EXN"",""low52"")"	"=GoogleFinance(""TSE:EXN"",""volume"")"	"=GoogleFinance(""TSE:EXN"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:EXN"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Excelsior Mining Corp.	MIN	"=GoogleFinance(""TSE:MIN"",""marketcap"")"	"=GoogleFinance(""TSE:MIN"",""price"")"	"=GoogleFinance(""TSE:MIN"",""change"")"	"=GoogleFinance(""TSE:MIN"",""high52"")"	"=GoogleFinance(""TSE:MIN"",""low52"")"	"=GoogleFinance(""TSE:MIN"",""volume"")"	"=GoogleFinance(""TSE:MIN"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:MIN"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Exchange Income Corporation	EIF	"=GoogleFinance(""TSE:EIF"",""marketcap"")"	"=GoogleFinance(""TSE:EIF"",""price"")"	"=GoogleFinance(""TSE:EIF"",""change"")"	"=GoogleFinance(""TSE:EIF"",""high52"")"	"=GoogleFinance(""TSE:EIF"",""low52"")"	"=GoogleFinance(""TSE:EIF"",""volume"")"	"=GoogleFinance(""TSE:EIF"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:EIF"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
EXFO Inc.	EXF	"=GoogleFinance(""TSE:EXF"",""marketcap"")"	"=GoogleFinance(""TSE:EXF"",""price"")"	"=GoogleFinance(""TSE:EXF"",""change"")"	"=GoogleFinance(""TSE:EXF"",""high52"")"	"=GoogleFinance(""TSE:EXF"",""low52"")"	"=GoogleFinance(""TSE:EXF"",""volume"")"	"=GoogleFinance(""TSE:EXF"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:EXF"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Extendicare Inc.	EXE	"=GoogleFinance(""TSE:EXE"",""marketcap"")"	"=GoogleFinance(""TSE:EXE"",""price"")"	"=GoogleFinance(""TSE:EXE"",""change"")"	"=GoogleFinance(""TSE:EXE"",""high52"")"	"=GoogleFinance(""TSE:EXE"",""low52"")"	"=GoogleFinance(""TSE:EXE"",""volume"")"	"=GoogleFinance(""TSE:EXE"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:EXE"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Fairfax Financial Holdings Limited	FFH	"=GoogleFinance(""TSE:FFH"",""marketcap"")"	"=GoogleFinance(""TSE:FFH"",""price"")"	"=GoogleFinance(""TSE:FFH"",""change"")"	"=GoogleFinance(""TSE:FFH"",""high52"")"	"=GoogleFinance(""TSE:FFH"",""low52"")"	"=GoogleFinance(""TSE:FFH"",""volume"")"	"=GoogleFinance(""TSE:FFH"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:FFH"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
FAX Capital Corp.	FXC	"=GoogleFinance(""TSE:FXC"",""marketcap"")"	"=GoogleFinance(""TSE:FXC"",""price"")"	"=GoogleFinance(""TSE:FXC"",""change"")"	"=GoogleFinance(""TSE:FXC"",""high52"")"	"=GoogleFinance(""TSE:FXC"",""low52"")"	"=GoogleFinance(""TSE:FXC"",""volume"")"	"=GoogleFinance(""TSE:FXC"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:FXC"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Fennec Pharmaceuticals Inc.	FRX	"=GoogleFinance(""TSE:FRX"",""marketcap"")"	"=GoogleFinance(""TSE:FRX"",""price"")"	"=GoogleFinance(""TSE:FRX"",""change"")"	"=GoogleFinance(""TSE:FRX"",""high52"")"	"=GoogleFinance(""TSE:FRX"",""low52"")"	"=GoogleFinance(""TSE:FRX"",""volume"")"	"=GoogleFinance(""TSE:FRX"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:FRX"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Fidelity Systematic U.S. High Yield Bond Currency Neutral ETF	FCHH	"=GoogleFinance(""TSE:FCHH"",""marketcap"")"	"=GoogleFinance(""TSE:FCHH"",""price"")"	"=GoogleFinance(""TSE:FCHH"",""change"")"	"=GoogleFinance(""TSE:FCHH"",""high52"")"	"=GoogleFinance(""TSE:FCHH"",""low52"")"	"=GoogleFinance(""TSE:FCHH"",""volume"")"	"=GoogleFinance(""TSE:FCHH"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:FCHH"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
Fidelity Systematic U.S. High Yield Bond ETF	FCHY	"=GoogleFinance(""TSE:FCHY"",""marketcap"")"	"=GoogleFinance(""TSE:FCHY"",""price"")"	"=GoogleFinance(""TSE:FCHY"",""change"")"	"=GoogleFinance(""TSE:FCHY"",""high52"")"	"=GoogleFinance(""TSE:FCHY"",""low52"")"	"=GoogleFinance(""TSE:FCHY"",""volume"")"	"=GoogleFinance(""TSE:FCHY"",""volumeavg"")"	"=INDEX(GoogleFinance(""TSE:FCHY"",""PRICE"", DATE(2020,1,2), ""1""),2,2)"
